block,steth_pool_balance,eth_pool_balance
13080531,590439.5180527641,579813.0379895917
13080549,590440.4132084775,579812.1433316298
13080634,590444.9153808713,579797.5044356844
13080727,591945.6624731967,578236.856756899
13080843,591913.6540530638,578271.8630713332
13080855,591898.8351232145,578291.6776933358
13080862,591727.7923047609,578462.6776933358
13080915,591760.79258752,578461.6767572891
13080944,591761.8447499663,578460.6252741491
13081023,591762.8447499663,578459.6259198466
13081067,591763.1447499663,578459.326113569
13081121,591773.1447499663,578445.1297182344
13081128,591774.1434589663,578444.1316549968
13081143,591799.3434589664,578418.9479713665
13081188,591793.4784475078,578159.4076179496
13081320,591784.3575412871,578599.2688770272
13081362,591791.3188304856,579357.7344949833
13081415,591816.5172535924,579363.7484430688
13081431,591821.5174897207,579358.7512923634
13081452,591822.3014317245,579357.9678342472
13081456,591822.8014317245,579357.4681428932
13081479,591829.0273572917,579351.2460619421
13081500,591913.949085269,579419.4893663896
13081647,591919.8827518342,579546.568605614
13081658,591925.9456266505,579540.5094553989
13081756,591926.1456266505,579540.3095783066
13081774,591929.0470206933,579539.4093507626
13081816,591938.5994231625,579535.9262069437
13081838,591968.5994231625,579505.9446902543
13081870,591981.9859231625,579492.5664572519
13081994,591908.2191077854,579594.3146039041
13082107,591913.5117085739,579588.7445500436
13082155,591900.3190486706,579611.9334048865
13082395,592223.3895223066,580038.7094109362
13082408,592227.5859216735,580034.5155616162
13082413,592228.6013216735,580033.5007788263
13082421,592252.6384637491,580009.4782678507
13082424,592259.9887350557,580002.1324782751
13082530,592659.6390371759,579607.126926772
13082685,592660.0388112364,579611.1949994484
13082743,592661.685420437,579666.3840795495
13082788,592693.8127990002,579634.2771244792
13082866,592697.2313061104,579633.8816981716
13082888,592753.6581354397,579609.8293283465
13082919,592760.6742101255,578785.083913613
13082978,592776.3461168428,578779.3972229467
13083055,592892.78641719,578677.2337181878
13083080,592895.7759646671,578674.2461912287
13083147,592902.3207676952,578632.2191526815
13083189,592895.8511915255,578638.6869333115
13083286,592898.8511915256,578633.9392414918
13083492,592901.3507319704,579408.3447910127
13083511,592901.5504289705,579408.145224074
13083512,593030.4254289705,579279.354715884
13083512,593030.4254289705,579279.354715884
13083617,593050.4641182527,579246.3383106542
13083670,593090.6431639566,579206.1859054432
13083679,593091.6468743817,579205.1828619052
13083715,593103.5468743816,579163.709277379
13083733,593068.5374355892,579201.812409044
13083828,593070.5374355891,578964.0582119222
13083857,593073.5386337778,578961.0590306061
13083991,593092.6366430416,578944.2875407928
13084035,593086.863167425,579050.0493388243
13084067,593087.8433739909,579079.0667526723
13084071,593095.0046277192,579077.0549028438
13084150,593096.5024363772,580073.4616850126
13084489,593097.6122458725,579987.344169096
13084533,593094.2966102521,579990.6590148767
13084629,593096.0122202521,579988.9444994838
13084678,593100.9003963027,579985.0593420544
13084682,593115.0588461998,579970.9099373032
13084684,593120.8049028057,579965.1675553961
13084688,593125.8049028057,579960.170754775
13085026,593182.0321384784,579984.1523499378
13085095,593190.0503282166,579815.4478834682
13085132,593190.631743026,579847.8138032968
13085355,593214.7865115787,579953.0550874226
13085371,593214.7866115788,579953.0549874869
13085410,593215.1607968113,579933.0400804997
13085531,593217.5590807626,579931.7432297298
13085649,593217.7091733459,579931.7431223808
13085665,593217.7092733459,579931.7430224451
13085673,593237.6890713458,579911.776105614
13085681,596914.1886322433,576238.101134145
13085786,596916.8386322433,576235.4534960334
13085815,596913.5615191532,576238.7289984416
13085910,596915.5614937036,576237.2307554054
13086232,596923.2109847721,576220.772167785
13086275,596923.544984772,576219.2637488213
13086419,596901.5341633897,576241.2637488215
13086465,596904.0114904554,576238.7886284329
13086507,596914.0199634952,576198.7860333339
13086695,596914.2543010693,576374.6899981187
13086722,596914.3890522363,576674.5248530577
13086764,596919.3890522365,576669.5292356103
13086788,596919.5890522364,576669.329410947
13087101,596952.4431508152,577657.2495420018
13087150,596984.8710869614,577624.8490163665
13087169,596984.8709772011,577604.7725953294
13087185,596988.8886772011,577583.4071271975
13087265,596987.4159427712,577583.8793807395
13087274,596991.1305790361,577580.1678943249
13087315,596941.1082376504,577630.1678943249
13087339,596938.6829413337,577632.5921116862
13087366,596934.6781197515,577696.5890633417
13087389,596938.1028116177,577695.5897865095
13087424,597099.4411016176,577534.3882802146
13087426,597100.8418364667,577532.98874053
13087572,597100.3349715187,577585.7228432975
13087590,597132.1020791034,577584.7221834335
13087651,597133.1520791034,577583.6730786558
13087662,597138.5320107376,577578.0015664145
13087754,597143.7129900379,577507.9499223125
13087804,597144.1449800379,577507.5183019064
13087991,597229.2110660548,577503.1283120004
13088025,597309.2110660548,577423.1972072812
13088097,599010.9102026621,579541.1166591117
13088113,599009.4595527421,579542.5666591116
13088133,599010.859552742,579541.1678460304
13088149,599099.0595527419,579453.0428849735
13088188,599137.071502742,579415.0634345243
13088195,599139.0259800899,579413.1106308202
13088223,599149.0823633622,579403.0628629767
13088257,599152.5535999527,579399.5946018008
13088312,599153.7644254357,579398.3848143809
13088321,599161.7644254357,579390.3916753822
13088624,599154.2211441551,579446.9265342961
13088733,599158.2322237167,579468.8820427442
13088735,599166.3133983496,579460.8077806461
13088889,599169.8421981182,580461.590867772
13088987,599173.7939847028,580457.6423297662
13089112,599153.2480212471,580478.1796287862
